Date,RUT,SP400,OVV,AR,CHK,SWN,RRC,BJ,CAR,PDCE,LSCC,WSC,PFGC,TTEK,HR,IWN,VTWO,URTY,VTWV,TNA,TZA,RWM,SRTY,TWM,AEO,DPZ,FNF,FL,GT,IBKR,MAT,NYT,SEDG,STLD,TRIP,WH,YELP,XMMO,XMHQ,IJH,MDY,IVOO,SPMD,SPY
2022-08-16,2020.530029296875,2635.179931640625,48.310001373291016,40.54999923706055,97.0,7.5,33.470001220703125,69.23999786376953,193.91000366210938,61.31999969482422,62.9900016784668,43.25,53.31999969482422,149.94000244140625,26.579999923706055,159.3800048828125,81.0999984741211,63.4900016784668,139.82000732421875,53.2400016784668,27.09000015258789,21.8700008392334,41.959999084472656,13.569999694824219,13.800000190734863,410.92999267578125,39.25,32.43000030517578,15.489999771118164,65.80999755859375,23.799999237060547,33.0,311.2699890136719,84.6500015258789,28.0,71.87999725341797,37.52000045776367,83.41999816894531,73.87000274658203,263.2799987792969,481.07000732421875,178.25,46.16999816894531,429.70001220703125
2022-08-17,1987.31005859375,2599.75,48.08000183105469,40.2400016784668,98.33000183105469,7.409999847412109,33.380001068115234,69.12999725341797,182.39999389648438,62.16999816894531,61.52000045776367,42.56999969482422,52.459999084472656,146.77000427246094,26.670000076293945,156.77000427246094,79.73999786376953,60.310001373291016,137.55999755859375,50.560001373291016,28.469999313354492,22.239999771118164,44.13999938964844,14.029999732971191,13.149999618530273,411.989990234375,39.019229888916016,32.45000076293945,15.069999694824219,65.18000030517578,23.469999313354492,32.54999923706055,310.6199951171875,83.04000091552734,27.31999969482422,71.08000183105469,36.880001068115234,82.55000305175781,72.7699966430664,259.7200012207031,474.6099853515625,175.8300018310547,45.560001373291016,426.6499938964844
2022-08-18,2000.72998046875,2619.929931640625,50.18000030517578,42.43000030517578,102.25,7.590000152587891,34.310001373291016,74.08999633789062,181.08999633789062,65.54000091552734,62.209999084472656,42.459999084472656,52.25,147.69000244140625,26.649999618530273,157.3800048828125,80.27999877929688,61.38999938964844,138.14999389648438,51.540000915527344,27.920000076293945,22.100000381469727,43.27000045776367,13.84000015258789,13.5600004196167,416.95001220703125,39.54807662963867,31.979999542236328,15.140000343322754,63.95000076293945,24.100000381469727,32.470001220703125,317.2200012207031,84.43000030517578,27.149999618530273,72.36000061035156,37.060001373291016,83.30999755859375,73.29000091552734,261.8800048828125,478.44000244140625,177.19000244140625,45.91999816894531,427.8900146484375
2022-08-19,1957.3499755859375,2578.06005859375,49.54999923706055,41.869998931884766,96.33000183105469,7.440000057220459,33.38999938964844,73.77999877929688,170.50999450683594,63.75,61.04999923706055,41.439998626708984,51.04999923706055,144.80999755859375,26.690000534057617,154.27000427246094,78.5199966430664,57.459999084472656,135.30999755859375,48.220001220703125,29.719999313354492,22.56999969482422,46.029998779296875,14.4399995803833,13.079999923706055,405.20001220703125,39.2115364074707,38.38999938964844,14.829999923706055,62.689998626708984,24.209999084472656,32.11000061035156,300.3299865722656,81.80000305175781,26.360000610351562,70.12000274658203,35.810001373291016,81.97000122070312,72.22000122070312,257.5799865722656,470.4599914550781,174.30999755859375,45.189998626708984,422.1400146484375
2022-08-22,1915.739990234375,2522.1298828125,50.060001373291016,43.2599983215332,100.16000366210938,8.079999923706055,35.060001373291016,72.20999908447266,164.22000122070312,63.79999923706055,58.90999984741211,40.9900016784668,50.2400016784668,141.9600067138672,26.299999237060547,150.77999877929688,76.91999816894531,53.86000061035156,132.10000610351562,45.220001220703125,31.56999969482422,23.049999237060547,48.90999984741211,15.050000190734863,12.529999732971191,401.2099914550781,38.346153259277344,36.86000061035156,14.180000305175781,62.459999084472656,23.559999465942383,31.510000228881836,288.8399963378906,80.25,25.31999969482422,68.45999908447266,34.970001220703125,80.20999908447266,70.55999755859375,252.0800018310547,460.44000244140625,170.57000732421875,44.209999084472656,413.3500061035156
2022-08-23,1919.1400146484375,2521.77001953125,52.45000076293945,42.22999954223633,100.37000274658203,7.75,33.97999954223633,72.22000122070312,173.14999389648438,66.25,59.61000061035156,40.849998474121094,49.9900016784668,141.94000244140625,25.75,150.8300018310547,77.05000305175781,54.18000030517578,132.32000732421875,45.45000076293945,31.360000610351562,23.010000228881836,48.619998931884766,15.0,12.539999961853027,392.4599914550781,38.19230651855469,36.75,14.149999618530273,61.9900016784668,23.520000457763672,31.329999923706055,288.4599914550781,81.02999877929688,25.139999389648438,68.97000122070312,34.209999084472656,80.4000015258789,70.51000213623047,252.0500030517578,460.42999267578125,170.5399932861328,44.220001220703125,412.3500061035156
2022-08-24,1935.2900390625,2534.469970703125,53.66999816894531,43.09000015258789,103.75,7.809999942779541,34.75,71.72000122070312,178.2100067138672,67.80000305175781,59.36000061035156,41.619998931884766,51.029998779296875,143.2899932861328,25.81999969482422,151.52999877929688,77.63999938964844,55.439998626708984,133.00999450683594,46.52000045776367,30.649999618530273,22.81999969482422,47.529998779296875,14.760000228881836,12.119999885559082,396.9599914550781,37.875,36.4900016784668,14.319999694824219,62.59000015258789,23.579999923706055,31.110000610351562,294.6099853515625,81.38999938964844,25.15999984741211,69.47000122070312,34.599998474121094,80.88999938964844,70.5199966430664,253.24000549316406,462.75,171.52000427246094,44.439998626708984,413.6700134277344
2022-08-25,1964.6400146484375,2576.4599609375,54.349998474121094,42.40999984741211,103.80000305175781,7.739999771118164,34.45000076293945,72.0199966430664,185.67999267578125,68.48999786376953,60.97999954223633,42.560001373291016,51.59000015258789,144.1699981689453,25.940000534057617,153.85000610351562,78.87999725341797,57.869998931884766,134.7100067138672,48.619998931884766,29.260000228881836,22.479999542236328,45.36000061035156,14.300000190734863,12.25,406.9700012207031,39.25961685180664,37.959999084472656,15.15999984741211,63.599998474121094,23.729999542236328,31.989999771118164,300.739990234375,86.76000213623047,25.610000610351562,69.80000305175781,34.959999084472656,82.31999969482422,71.91999816894531,257.5,470.57000732421875,174.25,45.18000030517578,419.510009765625
2022-08-26,1899.8299560546875,2500.25,53.38999938964844,42.25,103.66000366210938,7.639999866485596,34.4900016784668,71.05000305175781,176.60000610351562,67.31999969482422,57.27000045776367,41.06999969482422,50.72999954223633,140.0500030517578,25.31999969482422,149.22000122070312,76.2300033569336,52.209999084472656,130.88999938964844,43.7599983215332,32.220001220703125,23.229999542236328,49.869998931884766,15.260000228881836,11.800000190734863,390.2799987792969,38.721153259277344,36.75,14.619999885559082,61.61000061035156,22.8700008392334,31.149999618530273,287.92999267578125,86.87000274658203,25.040000915527344,66.73999786376953,34.15999984741211,80.13999938964844,69.76000213623047,249.77999877929688,456.3999938964844,169.11000061035156,43.83000183105469,405.30999755859375
2022-08-29,1882.93994140625,2482.9599609375,55.06999969482422,42.040000915527344,103.7699966430664,7.53000020980835,34.15999984741211,73.30000305175781,176.4600067138672,69.37999725341797,56.02000045776367,40.939998626708984,50.36000061035156,138.58999633789062,25.280000686645508,147.82000732421875,75.55000305175781,50.790000915527344,129.6699981689453,42.61000061035156,33.06999969482422,23.43000030517578,51.20000076293945,15.529999732971191,11.640000343322754,378.510009765625,38.25961685180664,36.900001525878906,14.479999542236328,61.11000061035156,22.59000015258789,30.440000534057617,279.4599914550781,86.23999786376953,24.579999923706055,66.69999694824219,33.81999969482422,79.69000244140625,69.2699966430664,248.13999938964844,453.3999938964844,167.99000549316406,43.540000915527344,402.6300048828125
2022-08-30,1855.5899658203125,2448.360107421875,52.83000183105469,38.630001068115234,97.88999938964844,7.099999904632568,31.690000534057617,73.33000183105469,169.52000427246094,65.5999984741211,54.900001525878906,40.2599983215332,49.9900016784668,136.99000549316406,24.790000915527344,145.7100067138672,74.52999877929688,48.599998474121094,127.61000061035156,40.779998779296875,34.4900016784668,23.770000457763672,53.369998931884766,15.989999771118164,11.770000457763672,380.3699951171875,38.11538314819336,36.36000061035156,14.199999809265137,60.7400016784668,22.450000762939453,30.579999923706055,275.5,81.41999816894531,23.690000534057617,65.47000122070312,33.77000045776367,78.0,68.26000213623047,244.75999450683594,447.25,165.6300048828125,42.93000030517578,398.2099914550781
2022-08-31,1844.1199951171875,2431.050048828125,53.13999938964844,40.08000183105469,100.48999786376953,7.489999771118164,32.86000061035156,74.48999786376953,167.3800048828125,67.91000366210938,53.900001525878906,40.13999938964844,49.97999954223633,135.80999755859375,24.31999969482422,144.67999267578125,74.0,47.709999084472656,126.91000366210938,40.04999923706055,35.119998931884766,23.920000076293945,54.41999816894531,16.190000534057617,11.260000228881836,371.8599853515625,37.596153259277344,36.84000015258789,14.029999732971191,61.59000015258789,22.1200008392334,30.489999771118164,275.9700012207031,80.72000122070312,23.799999237060547,65.33999633789062,34.16999816894531,77.5199966430664,67.7699966430664,242.97999572753906,444.0899963378906,164.52999877929688,42.650001525878906,395.17999267578125
2022-09-01,1822.8199462890625,2411.199951171875,51.02000045776367,38.869998931884766,98.0199966430664,7.230000019073486,31.959999084472656,74.4800033569336,165.55999755859375,65.2300033569336,52.16999816894531,39.95000076293945,49.2400016784668,134.3000030517578,24.139999389648438,143.4499969482422,73.20999908447266,46.09000015258789,125.62999725341797,38.720001220703125,36.279998779296875,24.190000534057617,56.220001220703125,16.540000915527344,11.199999809265137,371.6199951171875,37.92307662963867,36.63999938964844,13.8100004196167,62.88999938964844,22.170000076293945,30.969999313354492,269.32000732421875,77.33999633789062,23.510000228881836,64.36000061035156,33.849998474121094,77.11000061035156,66.94999694824219,241.0800018310547,440.6499938964844,163.1199951171875,42.290000915527344,396.4200134277344
2022-09-02,1809.75,2393.10009765625,52.77000045776367,39.52000045776367,99.73999786376953,7.380000114440918,32.16999816894531,73.37000274658203,161.72999572753906,66.83000183105469,52.25,39.95000076293945,49.119998931884766,132.91000366210938,23.969999313354492,142.44000244140625,72.69000244140625,44.959999084472656,124.7300033569336,37.79999923706055,37.130001068115234,24.3799991607666,57.43000030517578,16.790000915527344,11.149999618530273,365.79998779296875,38.11538314819336,35.7400016784668,13.569999694824219,61.81999969482422,22.079999923706055,30.649999618530273,267.1199951171875,77.94000244140625,23.399999618530273,65.45999908447266,33.88999938964844,76.73999786376953,66.56999969482422,239.30999755859375,437.3999938964844,162.0,42.0099983215332,392.239990234375
2022-09-06,1792.3199462890625,2378.080078125,52.0099983215332,38.029998779296875,96.52999877929688,7.230000019073486,30.860000610351562,74.3499984741211,154.91000366210938,65.18000030517578,51.29999923706055,40.09000015258789,48.779998779296875,133.6300048828125,23.790000915527344,140.75,71.98999786376953,43.7400016784668,123.41000366210938,36.72999954223633,38.209999084472656,24.579999923706055,59.099998474121094,17.100000381469727,11.279999732971191,362.7699890136719,37.79807662963867,35.79999923706055,13.210000038146973,64.87000274658203,22.1299991607666,29.729999542236328,278.3800048828125,79.36000061035156,23.469999313354492,63.790000915527344,33.790000915527344,76.18000030517578,66.05000305175781,237.80999755859375,434.6000061035156,161.0,41.709999084472656,390.760009765625
2022-09-07,1832.0,2432.02001953125,50.11000061035156,37.900001525878906,97.73999786376953,7.170000076293945,30.170000076293945,77.55999755859375,157.55999755859375,62.560001373291016,51.83000183105469,41.15999984741211,50.529998779296875,137.8000030517578,24.540000915527344,143.42999267578125,73.48999786376953,46.459999084472656,125.7699966430664,39.060001373291016,35.75,24.079999923706055,55.400001525878906,16.3799991607666,11.59000015258789,362.6099853515625,38.4615364074707,36.630001068115234,13.600000381469727,66.43000030517578,22.6200008392334,30.450000762939453,311.364990234375,79.69999694824219,24.079999923706055,66.27999877929688,34.86000061035156,77.56999969482422,67.58000183105469,243.22000122070312,444.55999755859375,164.6300048828125,42.65999984741211,397.7799987792969
